Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Order and check out multiple products,,,,13-03-2025 12:18:46,13-03-2025 12:21:49,3m - 2.973s,FAILED
,,,,,,,
Test Cases/Data-driven samples/Order and check out multiple products,,,,13-03-2025 12:18:47,13-03-2025 12:21:49,3m - 2.594s,FAILED
"DATA BINDING - {""(Default) produ..."":""Flying Ninja""}",,,,,,,
sample.Login.loginIntoApplicationWithGlobalVariable(),,,,13-03-2025 12:18:47,13-03-2025 12:21:49,3m - 2.174s,FAILED
